volume,slice,band_pos,rel_pos,ratio,method,psnr,ssim
3011.npy,62,33,0.846,0.2,cs,12.497096222875443,0.5580603243492004
3011.npy,62,33,0.846,0.2,ddnm,24.002830559718266,0.7545032956169184
3011.npy,62,33,0.846,0.3,zerofill,19.79866237782176,0.5665140219141062
3011.npy,62,33,0.846,0.3,cs,29.99239451183861,0.9013731809284411
3011.npy,62,33,0.846,0.3,ddnm,31.358667601614147,0.9378484713473777
3011.npy,62,33,0.846,0.5,zerofill,25.980966944776643,0.7302780285646208
3011.npy,62,33,0.846,0.5,cs,32.603562014118886,0.9731980269553039
3011.npy,62,33,0.846,0.5,ddnm,32.22449766685069,0.969785752615375
3011.npy,68,39,1.0,0.2,zerofill,11.792888596025117,0.4015037735229644
3011.npy,68,39,1.0,0.2,cs,11.840685900493185,0.5194430872357869
3011.npy,68,39,1.0,0.2,ddnm,26.626130087188375,0.7637369011022457
3011.npy,68,39,1.0,0.3,zerofill,19.933639134833644,0.5409607556146412
3011.npy,68,39,1.0,0.3,cs,28.854742140098047,0.8832450905472873
3011.npy,68,39,1.0,0.3,ddnm,30.700924406407083,0.9435889190225568
3011.npy,68,39,1.0,0.5,zerofill,26.56228660825722,0.7477048603005385
3011.npy,68,39,1.0,0.5,cs,33.71537939123576,0.9794605975468548
3011.npy,68,39,1.0,0.5,ddnm,33.1282255598678,0.9765345415971959
3013.npy,29,0,0.0,0.2,zerofill,11.00967554485661,0.34101109303103455
3013.npy,29,0,0.0,0.2,cs,12.245068264983942,0.5391208902452692
3013.npy,29,0,0.0,0.2,ddnm,10.52715148793352,0.49578666775802255
3013.npy,29,0,0.0,0.3,zerofill,12.12819220898956,0.4145155045212061
3013.npy,29,0,0.0,0.3,cs,12.31091089211697,0.5921330326251117
3013.npy,29,0,0.0,0.3,ddnm,28.748065192511426,0.8504590105973194
3013.npy,29,0,0.0,0.5,zerofill,12.641111174370938,0.5412168081566266
3013.npy,29,0,0.0,0.5,cs,12.378051164757924,0.6387986698428727
3013.npy,29,0,0.0,0.5,ddnm,31.739162480838715,0.9358395939471099
3013.npy,35,6,0.154,0.2,zerofill,20.487713431843467,0.5148234625744338
3013.npy,35,6,0.154,0.2,cs,25.984499980216967,0.7871389429584782
3013.npy,35,6,0.154,0.2,ddnm,26.473367193093644,0.8438882495451081
3013.npy,35,6,0.154,0.3,zerofill,12.679351701912537,0.4476582090032953
3013.npy,35,6,0.154,0.3,cs,13.631110200900348,0.6569920486855295
3013.npy,35,6,0.154,0.3,ddnm,24.174222258554305,0.8016866994473569
3013.npy,35,6,0.154,0.5,zerofill,28.493598454112607,0.8483030126116984
3013.npy,35,6,0.154,0.5,cs,32.92347148028227,0.9709992275999554
3013.npy,35,6,0.154,0.5,ddnm,31.865919113981906,0.955657287527079
3013.npy,40,11,0.282,0.2,zerofill,17.850265763044273,0.5145888122327048
3013.npy,40,11,0.282,0.2,cs,25.121825102420942,0.8107132177913321
3013.npy,40,11,0.282,0.2,ddnm,25.714429878339825,0.8048444430318027
3013.npy,40,11,0.282,0.3,zerofill,23.378117160298668,0.6533322833918903
3013.npy,40,11,0.282,0.3,cs,28.925551095549935,0.914662121277772
3013.npy,40,11,0.282,0.3,ddnm,28.954262589445815,0.9153706754821342
3013.npy,40,11,0.282,0.5,zerofill,26.92438993993314,0.7850169691959737
3013.npy,40,11,0.282,0.5,cs,33.79049839118099,0.9759432761235379
3013.npy,40,11,0.282,0.5,ddnm,33.93731274327534,0.9678365190850571
3013.npy,46,17,0.436,0.2,zerofill,12.94605038020006,0.4877395442497016
3013.npy,46,17,0.436,0.2,cs,14.030943418665672,0.6814882534151218
3013.npy,46,17,0.436,0.2,ddnm,26.81638649666358,0.8452853586381779
3013.npy,46,17,0.436,0.3,zerofill,19.95318130553599,0.585192788200212
3013.npy,46,17,0.436,0.3,cs,27.948740042130854,0.8848260736243849
3013.npy,46,17,0.436,0.3,ddnm,30.36382955658395,0.910822705960152
3013.npy,46,17,0.436,0.5,zerofill,14.097565500642787,0.6434426673608501
3013.npy,46,17,0.436,0.5,cs,13.605304454304612,0.7452622880305688
3013.npy,46,17,0.436,0.5,ddnm,33.02717351854821,0.9383535761685501
3013.npy,51,22,0.564,0.2,zerofill,16.805911245044577,0.5035175664094987
3013.npy,51,22,0.564,0.2,cs,23.90663745676069,0.816725180772186
3013.npy,51,22,0.564,0.2,ddnm,26.964545930358636,0.8172905344187426
3013.npy,51,22,0.564,0.3,zerofill,18.852846835222508,0.6155683107090043
3013.npy,51,22,0.564,0.3,cs,26.78068591142334,0.9209569728093808
3013.npy,51,22,0.564,0.3,ddnm,29.95335583437745,0.9358551946539483
3013.npy,51,22,0.564,0.5,zerofill,27.368925873665695,0.8008757753503424
3013.npy,51,22,0.564,0.5,cs,34.952274532375135,0.9786224712033773
3013.npy,51,22,0.564,0.5,ddnm,35.168811224555306,0.9746286966601421
3013.npy,57,28,0.718,0.2,zerofill,12.68624071892181,0.3772550522334451
3013.npy,57,28,0.718,0.2,cs,13.511745323899252,0.5582180873925462
3013.npy,57,28,0.718,0.2,ddnm,25.319158947361956,0.7352728628549476
3013.npy,57,28,0.718,0.3,zerofill,18.73482864798629,0.5539903241945204
3013.npy,57,28,0.718,0.3,cs,28.9052944302116,0.896712435407925
3013.npy,57,28,0.718,0.3,ddnm,31.045577858412152,0.9226730471815803
3013.npy,57,28,0.718,0.5,zerofill,27.67693141258142,0.8273833324462956
3013.npy,57,28,0.718,0.5,cs,35.088586727549206,0.9813580805657532
3013.npy,57,28,0.718,0.5,ddnm,35.94038919308626,0.9772252931658282
3013.npy,62,33,0.846,0.2,zerofill,12.125313827463163,0.4282156334268649
3013.npy,62,33,0.846,0.2,cs,12.392342954841663,0.5685391249868872
3013.npy,62,33,0.846,0.2,ddnm,23.53366262086791,0.7231265364321902
3013.npy,62,33,0.846,0.3,zerofill,12.344450536636701,0.4389631445048528
3013.npy,62,33,0.846,0.3,cs,12.452206479840397,0.605426725884341
3013.npy,62,33,0.846,0.3,ddnm,30.460848255360155,0.8668199795323558
3013.npy,62,33,0.846,0.5,zerofill,24.38929989779676,0.7282806119541616
3013.npy,62,33,0.846,0.5,cs,34.981034789198226,0.9781635350531963
3013.npy,62,33,0.846,0.5,ddnm,35.28185391473435,0.9741603791457419
3013.npy,68,39,1.0,0.2,zerofill,17.890169299067786,0.4289403865852762
3013.npy,68,39,1.0,0.2,cs,24.020830397580696,0.7963511472309118
3013.npy,68,39,1.0,0.2,ddnm,26.669751112560537,0.8949595802623526
3013.npy,68,39,1.0,0.3,zerofill,19.223107825998124,0.5219942189751914
